,age,games,games_starts,minutes,cards_yellow,cards_red,minutes_90s,goals,shots,shots_free_kicks,passes_completed,passes,passes_total_distance,passes_progressive_distance,passes_short,passes_medium,passes_long,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,tackles,tackles_won,dribble_tackles,dribbled_past,blocks,interceptions,clearances,errors,touches,touches_live_ball,dribbles,miscontrols,dispossessed,passes_received,fouls,fouled,ball_recoveries,aerials_won,aerials_lost,n_injuries,n_severe_injuries,currently_injured,position_DF,position_FW,position_GK,position_MF
1701,31.526027397260275,9.0,9.0,810.0,1.0,0.0,9.0,0.0,7.0,2.0,431.0,507.0,8927.0,3323.0,159.0,236.0,97.0,473.0,32.0,26.0,0.0,21.0,2.0,0.0,8.0,3.0,2.0,2.0,9.0,14.0,31.0,0.0,594.0,594.0,0.0,4.0,2.0,352.0,8.0,9.0,57.0,16.0,8.0,15,0,0,1,0,0,0
1702,27.835616438356166,12.0,12.0,1056.0,2.0,0.0,11.7,0.0,5.0,0.0,527.0,648.0,10731.0,4068.0,207.0,304.0,123.0,607.0,39.0,33.0,1.0,17.0,6.0,0.0,15.0,10.0,11.0,2.0,13.0,26.0,43.0,0.0,775.0,775.0,5.0,4.0,0.0,422.0,9.0,11.0,88.0,26.0,16.0,15,2,0,1,0,0,0
1703,22.575342465753426,3.0,0.0,23.0,0.0,0.0,0.3,0.0,0.0,0.0,14.0,15.0,327.0,99.0,5.0,6.0,4.0,14.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,4.0,0.0,0.0,1,0,0,1,0,0,0
1704,32.78904109589041,6.0,5.0,440.0,2.0,0.0,4.9,0.0,7.0,0.0,199.0,245.0,3248.0,1401.0,105.0,103.0,21.0,206.0,39.0,4.0,1.0,0.0,16.0,0.0,9.0,6.0,7.0,6.0,9.0,7.0,13.0,0.0,300.0,300.0,8.0,7.0,4.0,178.0,6.0,5.0,26.0,6.0,1.0,12,1,0,1,0,0,0
1705,34.73698630136986,1.0,0.0,45.0,0.0,0.0,0.5,0.0,0.0,0.0,28.0,37.0,419.0,130.0,16.0,15.0,3.0,32.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,40.0,40.0,0.0,0.0,1.0,23.0,1.0,0.0,2.0,0.0,0.0,14,2,0,1,0,0,0
1706,29.561643835616437,12.0,10.0,947.0,1.0,0.0,10.5,0.0,9.0,0.0,474.0,604.0,7848.0,2658.0,262.0,256.0,59.0,507.0,95.0,12.0,0.0,3.0,27.0,1.0,15.0,9.0,5.0,5.0,10.0,12.0,22.0,1.0,702.0,702.0,13.0,13.0,2.0,395.0,10.0,3.0,88.0,12.0,6.0,5,1,0,1,0,0,0
1708,33.61643835616438,14.0,13.0,1078.0,2.0,0.0,12.0,0.0,1.0,0.0,586.0,742.0,9792.0,3716.0,349.0,268.0,86.0,610.0,128.0,13.0,0.0,6.0,49.0,0.0,17.0,10.0,11.0,10.0,12.0,6.0,18.0,0.0,818.0,818.0,8.0,6.0,6.0,498.0,21.0,5.0,69.0,11.0,6.0,15,2,0,1,0,0,0
1709,29.515068493150686,13.0,10.0,925.0,2.0,0.0,10.3,2.0,11.0,0.0,473.0,583.0,8854.0,2941.0,227.0,240.0,86.0,575.0,4.0,4.0,2.0,10.0,6.0,0.0,25.0,15.0,12.0,23.0,13.0,16.0,13.0,1.0,687.0,686.0,4.0,18.0,3.0,452.0,15.0,11.0,74.0,19.0,15.0,3,0,0,0,0,0,1
1710,33.28219178082192,6.0,3.0,238.0,2.0,1.0,2.6,0.0,3.0,2.0,126.0,141.0,1843.0,556.0,76.0,43.0,11.0,138.0,1.0,1.0,3.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,5.0,4.0,5.0,0.0,171.0,171.0,4.0,2.0,2.0,127.0,8.0,3.0,15.0,1.0,1.0,15,0,0,0,0,0,1
1711,23.89041095890411,9.0,1.0,225.0,1.0,0.0,2.5,0.0,7.0,0.0,83.0,105.0,1278.0,283.0,51.0,44.0,7.0,102.0,3.0,2.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,118.0,118.0,2.0,2.0,4.0,92.0,2.0,2.0,15.0,3.0,4.0,2,0,0,0,0,0,1
1712,32.50684931506849,8.0,4.0,363.0,1.0,0.0,4.0,0.0,1.0,0.0,164.0,202.0,2724.0,879.0,95.0,78.0,25.0,194.0,7.0,7.0,0.0,0.0,1.0,0.0,7.0,4.0,5.0,3.0,2.0,3.0,4.0,0.0,225.0,225.0,1.0,1.0,1.0,149.0,9.0,7.0,21.0,4.0,5.0,5,0,1,0,0,0,1
1713,22.586301369863016,14.0,13.0,938.0,2.0,0.0,10.4,3.0,16.0,0.0,310.0,366.0,4403.0,1125.0,204.0,115.0,23.0,351.0,10.0,5.0,1.0,0.0,4.0,2.0,9.0,4.0,4.0,11.0,4.0,3.0,3.0,0.0,470.0,469.0,25.0,31.0,21.0,359.0,14.0,21.0,60.0,8.0,5.0,4,1,0,0,0,0,1
1714,29.934246575342467,11.0,10.0,788.0,1.0,0.0,8.8,0.0,18.0,1.0,431.0,529.0,6664.0,1920.0,259.0,180.0,60.0,457.0,69.0,29.0,2.0,1.0,48.0,31.0,6.0,4.0,1.0,2.0,2.0,3.0,1.0,0.0,595.0,595.0,25.0,15.0,19.0,474.0,5.0,34.0,37.0,1.0,7.0,9,2,0,0,1,0,1
1715,27.394520547945206,13.0,12.0,1026.0,0.0,0.0,11.4,3.0,26.0,1.0,283.0,417.0,3975.0,1036.0,212.0,108.0,54.0,360.0,54.0,17.0,0.0,1.0,53.0,32.0,25.0,14.0,11.0,10.0,13.0,2.0,5.0,0.0,560.0,560.0,28.0,29.0,15.0,374.0,24.0,12.0,52.0,18.0,17.0,7,0,0,0,1,0,0
1716,24.194520547945206,8.0,0.0,56.0,0.0,0.0,0.6,0.0,1.0,0.0,30.0,40.0,495.0,135.0,18.0,11.0,7.0,39.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,43.0,43.0,4.0,0.0,2.0,35.0,0.0,0.0,5.0,0.0,1.0,1,0,0,0,1,0,1
1717,20.372602739726027,14.0,13.0,1069.0,0.0,0.0,11.9,3.0,24.0,0.0,253.0,367.0,3586.0,976.0,179.0,113.0,28.0,353.0,13.0,1.0,2.0,0.0,58.0,10.0,13.0,7.0,6.0,4.0,16.0,3.0,3.0,0.0,511.0,511.0,59.0,28.0,21.0,358.0,4.0,13.0,55.0,5.0,11.0,2,0,0,0,1,0,0
1718,28.446575342465753,14.0,14.0,1140.0,0.0,0.0,12.7,5.0,33.0,0.0,186.0,283.0,2460.0,491.0,147.0,83.0,19.0,260.0,20.0,0.0,1.0,4.0,22.0,0.0,10.0,6.0,4.0,0.0,2.0,2.0,11.0,0.0,405.0,404.0,32.0,22.0,16.0,316.0,11.0,14.0,29.0,11.0,16.0,4,0,0,0,1,0,0
1719,25.153424657534245,4.0,1.0,92.0,0.0,0.0,1.0,0.0,4.0,0.0,8.0,15.0,124.0,39.0,7.0,5.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,2.0,19.0,3.0,1.0,2.0,2.0,1.0,6,2,0,0,1,0,0
1720,36.37534246575343,13.0,2.0,355.0,1.0,0.0,3.9,1.0,23.0,0.0,75.0,118.0,1220.0,252.0,51.0,47.0,13.0,112.0,4.0,1.0,1.0,1.0,5.0,0.0,7.0,5.0,3.0,2.0,4.0,1.0,5.0,0.0,170.0,170.0,6.0,4.0,2.0,123.0,4.0,10.0,14.0,7.0,15.0,8,1,0,0,1,0,1
1721,26.202739726027396,7.0,1.0,203.0,1.0,0.0,2.3,5.0,13.0,0.0,45.0,55.0,612.0,164.0,28.0,14.0,3.0,51.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,84.0,84.0,1.0,4.0,6.0,62.0,6.0,1.0,5.0,5.0,6.0,1,1,0,0,1,0,1
1722,29.643835616438356,14.0,14.0,1260.0,1.0,0.0,14.0,0.0,0.0,0.0,231.0,409.0,10143.0,8865.0,19.0,61.0,326.0,225.0,181.0,60.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,445.0,445.0,0.0,0.0,0.0,103.0,1.0,0.0,13.0,3.0,0.0,5,1,0,0,0,1,0
1723,27.71232876712329,13.0,13.0,1125.0,5.0,0.0,12.5,0.0,8.0,0.0,320.0,403.0,6646.0,2641.0,127.0,185.0,83.0,390.0,12.0,10.0,0.0,6.0,0.0,0.0,12.0,7.0,10.0,2.0,15.0,18.0,65.0,0.0,529.0,529.0,4.0,2.0,0.0,287.0,13.0,11.0,36.0,20.0,8.0,1,0,0,1,0,0,0
1724,30.9013698630137,12.0,12.0,1002.0,4.0,0.0,11.1,0.0,2.0,0.0,326.0,389.0,6309.0,2603.0,128.0,174.0,74.0,370.0,17.0,13.0,0.0,2.0,3.0,0.0,9.0,5.0,5.0,3.0,4.0,12.0,25.0,1.0,461.0,461.0,8.0,7.0,11.0,270.0,16.0,15.0,70.0,13.0,7.0,1,0,0,1,0,0,0
1725,22.673972602739727,7.0,4.0,429.0,0.0,1.0,4.8,2.0,2.0,0.0,86.0,129.0,1495.0,688.0,41.0,59.0,21.0,115.0,14.0,2.0,0.0,0.0,3.0,0.0,11.0,8.0,6.0,6.0,5.0,9.0,15.0,0.0,180.0,180.0,3.0,0.0,1.0,88.0,5.0,6.0,19.0,8.0,10.0,1,1,0,1,0,0,0
